,id,group,description,score,value
110,GT8,1,agenda transversal de igualdad entre mujeres y hombres,19.79,hombre
111,GT9,1,agenda transversal de mentefactura,47.7,mentefactura
112,GT9,1,agenda transversal de mentefactura,46.5,agenda
113,GT10,1,agenda transversal de internacionalización,47.79,internacionalización
114,GT10,1,agenda transversal de internacionalización,47.2,agenda
115,HG1,1,"eje 1. gobierno honesto, cercano y moderno",47.2,eje
116,HG1,1,"eje 1. gobierno honesto, cercano y moderno",41.79,gobierno
117,HG2,1,eje 2. hidalgo próspero y dinámico,41.79,hidalgo
118,HG2,1,eje 2. hidalgo próspero y dinámico,30.5,eje
119,HG2,1,eje 2. hidalgo próspero y dinámico,13.8,dinámico
120,HG2,1,eje 2. hidalgo próspero y dinámico,13.8,próspero
121,HG3,1,eje 3. hidalgo humano e igualitario,52.2,hidalgo
122,HG3,1,eje 3. hidalgo humano e igualitario,40.29,eje
123,HG4,1,"eje 4. hidalgo seguro, con justicia y en paz",33.5,hidalgo
124,HG4,1,"eje 4. hidalgo seguro, con justicia y en paz",25.89,eje
125,HG4,1,"eje 4. hidalgo seguro, con justicia y en paz",20.5,justicia
126,HG4,1,"eje 4. hidalgo seguro, con justicia y en paz",19.1,paz
127,HG5,1,eje 5. hidalgo con desarrollo sostenible,46.9,desarrollo sostenible
128,HG5,1,eje 5. hidalgo con desarrollo sostenible,30.79,hidalgo
129,HG5,1,eje 5. hidalgo con desarrollo sostenible,22.2,eje
130,JC1,1,"seguridad, justicia y estado de derecho",59.29,estado de derecho
131,JC1,1,"seguridad, justicia y estado de derecho",24.1,seguridad
132,JC1,1,"seguridad, justicia y estado de derecho",16.39,justicia
133,JC2,1,desarrollo social,93.8,desarrollo
134,JC2,1,desarrollo social,6.09,social
135,JC3,1,desarrollo económico,100.0,desarrollo económico
136,JC4,1,desarrollo sostenible del territorio,75.0,desarrollo sostenible
137,JC4,1,desarrollo sostenible del territorio,24.89,territorio
138,JC5,1,gobierno efectivo e integridad pública,38.9,gobierno
139,JC5,1,gobierno efectivo e integridad pública,37.59,integridad
140,JC5,1,gobierno efectivo e integridad pública,23.1,público
141,JC6,1,temáticas transversales,93.69,temática
142,JC6,1,temáticas transversales,6.19,transversal
143,JC7,1,temáticas especiales,96.19,temática
144,JC7,1,temáticas especiales,3.7,especial
145,MO1,1,paz y seguridad para los morelenses,45.29,seguridad
146,MO1,1,paz y seguridad para los morelenses,39.59,morelense
147,MO1,1,paz y seguridad para los morelenses,15.0,paz
148,MO2,1,unidad y armonía para los morelenses,53.09,armonía
149,MO2,1,unidad y armonía para los morelenses,43.59,morelense
150,MO3,1,justicia social para los morelenses,58.79,justicia social
151,MO3,1,justicia social para los morelenses,41.09,morelense
152,MO4,1,productividad y competitividad para los morelenses,34.7,competitividad
153,MO4,1,productividad y competitividad para los morelenses,33.29,morelense
154,MO4,1,productividad y competitividad para los morelenses,31.89,productividad
155,MO5,1,modernidad para los morelenses,52.59,modernidad
156,MO5,1,modernidad para los morelenses,47.29,morelense
157,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",34.0,rendición de cuentas
158,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",20.89,gobierno
159,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",18.89,medida
160,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",18.7,anticorrupción
161,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",7.19,eficiente
162,NA2,1,2. seguridad ciudadana y prevención del delito,41.7,seguridad ciudadana
163,NA2,1,2. seguridad ciudadana y prevención del delito,33.4,prevención
164,NA2,1,2. seguridad ciudadana y prevención del delito,24.7,delito
165,NA3,1,"3. reactivación económica, innovación productiva y empleo",39.29,innovación
166,NA3,1,"3. reactivación económica, innovación productiva y empleo",30.5,reactivación
167,NA3,1,"3. reactivación económica, innovación productiva y empleo",20.0,empleo
168,NA3,1,"3. reactivación económica, innovación productiva y empleo",8.5,económico
169,NA4,1,"4. promoción de la equidad, la cohesión social y cultural",36.59,cohesión social
170,NA4,1,"4. promoción de la equidad, la cohesión social y cultural",36.4,promoción
171,NA4,1,"4. promoción de la equidad, la cohesión social y cultural",25.7,equidad
172,NA5,1,5. gestión de desarrollo territorial planificado y sustentable,49.79,gestión
173,NA5,1,5. gestión de desarrollo territorial planificado y sustentable,19.1,desarrollo
174,NA5,1,5. gestión de desarrollo territorial planificado y sustentable,16.1,sustentable
175,NA5,1,5. gestión de desarrollo territorial planificado y sustentable,13.5,planificado
176,NA6,1,"6. infraestructura para el desarrollo sustentable, incluyente y equitativo",53.2,desarrollo sustentable
177,NA6,1,"6. infraestructura para el desarrollo sustentable, incluyente y equitativo",31.89,infraestructura
178,NA6,1,"6. infraestructura para el desarrollo sustentable, incluyente y equitativo",10.89,incluyente
179,NA7,1,7. conservación y aprovechamiento equilibrado de los recursos naturales,42.29,conservación
180,NA7,1,7. conservación y aprovechamiento equilibrado de los recursos naturales,28.79,aprovechamiento
181,NA7,1,7. conservación y aprovechamiento equilibrado de los recursos naturales,24.39,recurso natural
182,NA8,1,gobierno abierto y transparente,89.4,gobierno
183,NA8,1,gobierno abierto y transparente,7.19,transparente
184,NA9,1,igualdad sustantiva,100.0,igualdad sustantiva
185,NA10,1,desarrollo sostenible,100.0,desarrollo sostenible
186,NA11,1,productividad democrática,70.59,productividad
187,NA11,1,productividad democrática,29.29,democrático
188,PU1,1,"eje 1. seguridad pública, justicia y estado de derecho",37.4,estado de derecho
189,PU1,1,"eje 1. seguridad pública, justicia y estado de derecho",33.0,seguridad pública
190,PU1,1,"eje 1. seguridad pública, justicia y estado de derecho",15.89,justicia
191,PU1,1,"eje 1. seguridad pública, justicia y estado de derecho",13.39,eje
192,PU2,1,eje 2. recuperación del campo poblano,45.4,recuperación
193,PU2,1,eje 2. recuperación del campo poblano,32.0,eje
194,PU2,1,eje 2. recuperación del campo poblano,12.89,poblano
195,PU2,1,eje 2. recuperación del campo poblano,9.5,campo
196,PU3,1,eje 3. desarrollo económico para todas y todos,64.9,desarrollo económico
197,PU3,1,eje 3. desarrollo económico para todas y todos,35.0,eje
198,PU4,1,eje 4. disminución de las desigualdades,41.2,disminución
199,PU4,1,eje 4. disminución de las desigualdades,30.2,desigualdad
200,PU4,1,eje 4. disminución de las desigualdades,28.39,eje
201,PU5,1,"eje especial. gobierno democrático, innovador y transparente",63.79,gobierno democrático
202,PU5,1,"eje especial. gobierno democrático, innovador y transparente",30.39,eje
203,PU6,1,enfoque transversal,92.5,enfoque
204,PU6,1,enfoque transversal,7.4,transversal
205,AG1.1,2,gran acuerdo social por la educación,61.09,acuerdo social
206,AG1.1,2,gran acuerdo social por la educación,37.4,educación
207,AG1.2,2,promoción y prevención para la salud,41.59,prevención
208,AG1.2,2,promoción y prevención para la salud,30.7,promoción
209,AG1.2,2,promoción y prevención para la salud,27.5,salud
210,AG1.3,2,fortalecimiento a la atención médica,50.4,fortalecimiento
211,AG1.3,2,fortalecimiento a la atención médica,49.5,atención médica
212,AG1.4,2,atención a la salud,100.0,atención a la salud
213,AG1.5,2,fortalecimiento del tejido social (centros crecer),53.0,fortalecimiento
214,AG1.5,2,fortalecimiento del tejido social (centros crecer),45.4,tejido
215,AG1.6,2,identidad con educación y valores,47.79,educación
216,AG1.6,2,identidad con educación y valores,33.29,identidad
217,AG1.6,2,identidad con educación y valores,18.7,valor
218,AG1.8,2,apoyo a la población vulnerable,54.79,población
219,AG1.8,2,apoyo a la población vulnerable,42.09,apoyo
220,AG1.9,2,crecer con valores,100.0,valor
221,AG1.10,2,desarrollo familiar,100.0,desarrollo
222,AG1.11,2,formación en las artes,74.19,formación
223,AG1.11,2,formación en las artes,25.7,arte
224,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",25.29,empresario
225,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",23.29,artesano
226,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",16.2,creador
227,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",13.3,impulso
228,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",10.5,trabajo
229,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",6.4,artístico
230,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",4.69,emprendedor
231,AG1.13,2,deporte social,95.8,deporte
232,AG1.13,2,deporte social,4.09,social
233,AG1.14,2,deporte selectivo,90.9,deporte
234,AG1.14,2,deporte selectivo,9.0,selectivo
235,AG1.15,2,aguascalientes joven vive más,95.09,joven
236,AG1.15,2,aguascalientes joven vive más,4.8,aguascalientes
237,AG1.16,2,tu señal con valor,64.3,señal
238,AG1.16,2,tu señal con valor,35.59,valor
239,AG2.1,2,marco normativo,63.0,marco
240,AG2.1,2,marco normativo,36.9,normativo
241,AG2.2,2,gobernanza y estado de derecho,65.5,estado de derecho
242,AG2.2,2,gobernanza y estado de derecho,34.4,gobernanza
243,AG2.3,2,estrategia integral de seguridad pública,56.5,seguridad pública
244,AG2.3,2,estrategia integral de seguridad pública,38.9,estrategia
245,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,29.2,estrategia
246,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,28.89,internacional
247,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,22.39,sociedad
248,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,17.7,individuo
249,AG3.1,2,financiamiento sano del desarrollo,60.4,financiamiento
250,AG3.1,2,financiamiento sano del desarrollo,39.5,desarrollo
251,AG3.2,2,fortalecimiento de la coordinación hacendaria,46.7,fortalecimiento
252,AG3.2,2,fortalecimiento de la coordinación hacendaria,41.5,coordinación
253,AG3.3,2,gobierno cercano y moderno,90.0,gobierno
254,AG3.3,2,gobierno cercano y moderno,5.3,cercano
255,AG3.4,2,"gestión pública integral, eficiente y de calidad",51.7,gestión pública
256,AG3.4,2,"gestión pública integral, eficiente y de calidad",39.4,calidad
257,AG3.5,2,implementación del modelo estatal del control interno,51.0,control interno
258,AG3.5,2,implementación del modelo estatal del control interno,46.79,implementación
259,AG4.1,2,"economía global, competitiva y diversificada",55.5,economía
260,AG4.1,2,"economía global, competitiva y diversificada",38.09,diversificado
261,AG4.2,2,"fomento a la micro, pequeña y mediana empresa",46.4,pequeña y mediana empresa
262,AG4.2,2,"fomento a la micro, pequeña y mediana empresa",27.2,fomento
263,AG4.2,2,"fomento a la micro, pequeña y mediana empresa",26.29,micro
264,AG4.3,2,"fomento al desarrollo tecnológico, innovacióny mejora regulatoria",68.0,fomento
265,AG4.3,2,"fomento al desarrollo tecnológico, innovacióny mejora regulatoria",21.1,tecnológico
266,AG4.4,2,fomento al sector agroalimentario,58.9,sector agroalimentario
267,AG4.4,2,fomento al sector agroalimentario,41.0,fomento
268,AG4.5,2,promoción y difusión turística,45.0,difusión
269,AG4.5,2,promoción y difusión turística,41.09,promoción
270,AG4.5,2,promoción y difusión turística,13.8,turístico
271,AG4.6,2,desarrollo de productos turísticos,57.59,producto
272,AG4.6,2,desarrollo de productos turísticos,22.0,turístico
273,AG4.6,2,desarrollo de productos turísticos,20.29,desarrollo
274,AG5.1,2,sistema estatal de movilidad integral y sustentable,53.0,movilidad
275,AG5.1,2,sistema estatal de movilidad integral y sustentable,31.29,sistema
276,AG5.2,2,plan hídrico estatal,58.5,hídrico
277,AG5.2,2,plan hídrico estatal,32.59,plan
278,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",20.0,río
279,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",19.1,cuenca del río
280,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",16.0,afluente
281,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",15.19,regeneración
282,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",13.19,característica
283,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",10.89,mejoramiento
284,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",3.29,estético
285,AG5.4,2,cambio climático y energías sustentables,61.29,cambio climático
286,AG5.4,2,cambio climático y energías sustentables,35.29,energía
287,AG5.5,2,gestión de residuos e impacto ambiental,64.5,gestión de residuos
288,AG5.5,2,gestión de residuos e impacto ambiental,35.4,impacto ambiental
289,AG5.6,2,programa de ordenamiento ecológico regional,70.4,ordenamiento
290,AG5.6,2,programa de ordenamiento ecológico regional,26.29,ecológico
291,AG5.7,2,educación ambiental para la sustentabilidad,100.0,educación ambiental
292,AG5.8,2,calidad del aire,100.0,calidad del aire
293,AG5.9,2,gestión sustentable del agua subterránea,55.29,agua subterránea
294,AG5.9,2,gestión sustentable del agua subterránea,39.29,gestión
295,AG5.10,2,complementariedad hídrica a través del reúso del agua tratada,41.2,complementariedad
296,AG5.10,2,complementariedad hídrica a través del reúso del agua tratada,30.0,reúso
297,AG5.10,2,complementariedad hídrica a través del reúso del agua tratada,16.2,hídrico
298,AG5.10,2,complementariedad hídrica a través del reúso del agua tratada,11.0,tratado
299,AG5.11,2,estrategia para la vivienda y hábitat de calidad,33.79,hábitat
300,AG5.11,2,estrategia para la vivienda y hábitat de calidad,29.7,vivienda
301,AG5.11,2,estrategia para la vivienda y hábitat de calidad,24.6,estrategia
302,AG5.11,2,estrategia para la vivienda y hábitat de calidad,11.69,calidad
303,AG5.12,2,sistema de planeación estatal del ordenamiento territorial y del desarrollo urbano,37.79,planeación
304,AG5.12,2,sistema de planeación estatal del ordenamiento territorial y del desarrollo urbano,32.5,ordenamiento
305,AG5.12,2,sistema de planeación estatal del ordenamiento territorial y del desarrollo urbano,17.5,sistema
306,AG5.12,2,sistema de planeación estatal del ordenamiento territorial y del desarrollo urbano,7.09,desarrollo
307,AG5.13,2,infraestructura para el desarrollo,77.59,infraestructura
308,AG5.13,2,infraestructura para el desarrollo,22.29,desarrollo
309,AG5.14,2,sistema estatal de información estadística y geográfica,53.2,información
310,AG5.14,2,sistema estatal de información estadística y geográfica,18.89,geográfico
311,AG5.14,2,sistema estatal de información estadística y geográfica,18.7,estadístico
312,AG5.15,2,actualización de la legislación en materia de desarrollo urbano,50.29,actualización
313,AG5.15,2,actualización de la legislación en materia de desarrollo urbano,45.09,legislación
314,BC1.1,2,1.1 un estado de bienestar para la gente,64.0,estado de bienestar
315,BC1.1,2,1.1 un estado de bienestar para la gente,36.0,gente
316,BC1.2,2,1.2 inclusión social e igualdad de género ,52.0,igualdad de género
317,BC1.2,2,1.2 inclusión social e igualdad de género ,46.79,inclusión
318,BC1.3,2,1.3 salud para el bienestar ,59.79,salud
319,BC1.3,2,1.3 salud para el bienestar ,40.09,bienestar
320,BC1.4,2,1.4 educación,100.0,educación
321,BC1.5,2,1.5 cultura y arte en progreso ,43.4,cultura
322,BC1.5,2,1.5 cultura y arte en progreso ,30.6,arte
323,BC1.5,2,1.5 cultura y arte en progreso ,25.89,progreso
324,BC2.1,2,2.1 prevención y participación ciudadana ,63.0,participación ciudadana
325,BC2.1,2,2.1 prevención y participación ciudadana ,36.9,prevención
326,BC2.2,2,2.2 procuración de justicia ,61.4,procuración
327,BC2.2,2,2.2 procuración de justicia ,38.5,justicia
328,BC2.3,2,2.3 combate al delito ,100.0,delito
329,BC2.4,2,2.4 combate a la corrupción ,100.0,corrupción
330,BC2.5,2,2.5 consolidación del sistema de justicia penal ,57.29,sistema de justicia penal
331,BC2.5,2,2.5 consolidación del sistema de justicia penal ,42.59,consolidación
332,BC2.6,2,2.6 servicios jurídicos integrales para la sociedad ,43.59,sociedad
333,BC2.6,2,2.6 servicios jurídicos integrales para la sociedad ,31.39,servicio
334,BC2.6,2,2.6 servicios jurídicos integrales para la sociedad ,19.39,jurídico
335,BC2.7,2,2.7 fortalecimiento del sistema estatal penitenciario,79.0,fortalecimiento
336,BC2.7,2,2.7 fortalecimiento del sistema estatal penitenciario,9.0,sistema
337,BC3.1,2,3.1 economía sustentable ,85.8,economía
338,BC3.1,2,3.1 economía sustentable ,14.1,sustentable
339,BC3.2,2,3.2 turismo como motor para un desarrollo regional sostenible ,46.4,turismo
340,BC3.2,2,3.2 turismo como motor para un desarrollo regional sostenible ,40.2,motor
341,BC3.3,2,3.3 medio ambiente y desarrollo sustentable ,51.29,desarrollo sustentable
342,BC3.3,2,3.3 medio ambiente y desarrollo sustentable ,48.59,medio ambiente
343,BC3.4,2,3.4 pesca y acuacultura ,100.0,acuacultura
344,BC3.5,2,3.5 desarrollo agropecuario y forestal de baja california ,51.59,california
345,BC3.5,2,3.5 desarrollo agropecuario y forestal de baja california ,35.79,desarrollo
346,BC3.6,2,3.6 energías renovables ,100.0,energía renovable
347,BC3.7,2,3.7 trabajo y previsión social,100.0,previsión social
348,BC4.1,2,4.1 logística y transporte ,59.29,transporte
349,BC4.1,2,4.1 logística y transporte ,40.59,logístico
350,BC4.2,2,4.2 desarrollo urbano y ordenamiento del territorio ,54.7,ordenamiento
351,BC4.2,2,4.2 desarrollo urbano y ordenamiento del territorio ,43.59,territorio
352,BC4.3,2,4.3 movilidad y transporte sustentable ,47.9,transporte
353,BC4.3,2,4.3 movilidad y transporte sustentable ,45.5,movilidad
354,BC4.4,2,"4.4 agua potable, alcantarillado y saneamiento",34.0,alcantarillado
355,BC4.4,2,"4.4 agua potable, alcantarillado y saneamiento",33.29,agua potable
356,BC4.4,2,"4.4 agua potable, alcantarillado y saneamiento",32.5,saneamiento
357,BC5.1,2,5.1 hacienda ordenada ,100.0,ordenada
358,BC5.2,2,5.2 gobierno eficiente,64.8,gobierno
359,BC5.2,2,5.2 gobierno eficiente,35.09,eficiente
360,BC6.1,2,6.1 política gubernamental ,80.19,político
361,BC6.1,2,6.1 política gubernamental ,19.7,gubernamental
362,BC6.2,2,6.2 fortalecimiento municipal y gobernabilidad ,50.7,gobernabilidad
363,BC6.2,2,6.2 fortalecimiento municipal y gobernabilidad ,47.4,fortalecimiento
364,BC6.3,2,6.3 normatividad jurídica y administrativa ,82.59,jurídico
365,BC6.3,2,6.3 normatividad jurídica y administrativa ,11.19,administrativo
366,BC6.4,2,6.4 servicios de gobierno ,62.79,gobierno
367,BC6.4,2,6.4 servicios de gobierno ,37.09,servicio
368,BC6.5,2,6.5 gobierno honesto y de resultados ,76.0,resultado
369,BC6.5,2,6.5 gobierno honesto y de resultados ,23.89,honesto
370,BC6.6,2,6.6 coordinación interinstitucional orientada a resultados ,74.9,coordinación interinstitucional
371,BC6.6,2,6.6 coordinación interinstitucional orientada a resultados ,25.0,resultado
372,BC6.7,2,6.7 planeación del desarrollo democrático,58.59,planeación
373,BC6.7,2,6.7 planeación del desarrollo democrático,25.0,desarrollo
374,BC6.7,2,6.7 planeación del desarrollo democrático,16.29,democrático
375,CH1.1,2,tasa de mortandad por suicidio,37.4,tasa
376,CH1.1,2,tasa de mortandad por suicidio,34.2,suicidio
377,CH1.1,2,tasa de mortandad por suicidio,28.29,mortandad
378,CH1.2,2,porcentaje de nacimientos en mujeres entre 10 y19 años de edad,22.89,año
379,CH1.2,2,porcentaje de nacimientos en mujeres entre 10 y19 años de edad,20.6,porcentaje
