,id,group,description,lemma,score
48,CH2,1,"2. economía, innovación, desarrollo sustentable y equilibrio regional",regional,0.5
49,CH3,1,"3. infraestructura, desarrollo urbano y medio ambiente",infraestructura,41.4
50,CH3,1,"3. infraestructura, desarrollo urbano y medio ambiente",medio ambiente,39.59
51,CH3,1,"3. infraestructura, desarrollo urbano y medio ambiente",desarrollo,17.0
52,CH3,1,"3. infraestructura, desarrollo urbano y medio ambiente",ciudadano,1.79
53,CH4,1,4. justicia y seguridad,certeza,64.3
54,CH4,1,4. justicia y seguridad,justicia,35.59
55,CH5,1,5. gobierno responsable,ministerio,91.0
56,CH5,1,5. gobierno responsable,culpable,8.89
57,CM1,1,1. justicia social para el bienestar,justicia social,60.2
58,CM1,1,1. justicia social para el bienestar,bienestar,39.7
59,CM2,1,2. crecimiento económico inclusivo,crecimiento económico,91.59
60,CM2,1,2. crecimiento económico inclusivo,global,8.3
61,CM3,1,3. desarrollo responsable y sostenible,desarrollo sostenible,69.0
62,CM3,1,3. desarrollo responsable y sostenible,desarrollo,27.6
63,CM3,1,3. desarrollo responsable y sostenible,diligente,3.29
64,CM4,1,4. gobernabilidad y protección ciudadana,tutela,49.09
65,CM4,1,4. gobernabilidad y protección ciudadana,gobernabilidad,47.9
66,CM4,1,4. gobernabilidad y protección ciudadana,ciudadano,2.79
67,CM5,1,5. gobierno honesto y con resultados,ministerio,46.4
68,CM5,1,5. gobierno honesto y con resultados,rendimiento,45.4
69,CM5,1,5. gobierno honesto y con resultados,pudoroso,8.1
70,CM6,1,6. perspectiva de género,género,64.4
71,CM6,1,6. perspectiva de género,prognosis,35.5
72,CM7,1,7. derechos humanos ,derechos humanos,100.0
73,CS1,1,1. gobierno eficaz y honesto,ministerio,78.59
74,CS1,1,1. gobierno eficaz y honesto,pudoroso,13.39
75,CS1,1,1. gobierno eficaz y honesto,eficaz,7.8
76,CS2,1,2. bienestar social,estado de bienestar,100.0
77,CS3,1,"3. educación, ciencia y cultura",educación,35.9
78,CS3,1,"3. educación, ciencia y cultura",ciencia,33.29
79,CS3,1,"3. educación, ciencia y cultura",sabiduría,30.6
80,CS4,1,4. desarrollo económico y competitividad,desarrollo económico,58.5
81,CS4,1,4. desarrollo económico y competitividad,competencia,41.4
82,CS5,1,5. biodiversidad y desarrollo sustentable,desarrollo sostenible,54.7
83,CS5,1,5. biodiversidad y desarrollo sustentable,biodiversidad,45.2
84,DG1,1,eje 1. transparencia y rendición de cuentas.,rendición de cuentas,37.7
85,DG1,1,eje 1. transparencia y rendición de cuentas.,transparencia,32.79
86,DG1,1,eje 1. transparencia y rendición de cuentas.,eje,29.39
87,DG2,1,eje 2. gobierno con sentido humano y social.,ministerio,35.59
88,DG2,1,eje 2. gobierno con sentido humano y social.,eje,32.7
89,DG2,1,eje 2. gobierno con sentido humano y social.,sentido,28.7
90,DG2,1,eje 2. gobierno con sentido humano y social.,humano,1.39
91,DG2,1,eje 2. gobierno con sentido humano y social.,social,1.39
92,DG3,1,eje 3. estado de derecho.,estado de derecho,66.5
93,DG3,1,eje 3. estado de derecho.,eje,33.4
94,DG4,1,eje 4. desarrollo con equidad.,desarrollo,35.9
95,DG4,1,eje 4. desarrollo con equidad.,eje,34.9
96,DG4,1,eje 4. desarrollo con equidad.,equidad,29.1
97,EME1,1,"pilar social: estado de méxico socialmente responsable, solidario e incluyente",soporte,26.0
98,EME1,1,"pilar social: estado de méxico socialmente responsable, solidario e incluyente",estado,11.19
99,EME1,1,"pilar social: estado de méxico socialmente responsable, solidario e incluyente",solidario,5.3
100,EME1,1,"pilar social: estado de méxico socialmente responsable, solidario e incluyente",diligente,3.59
101,EME1,1,"pilar social: estado de méxico socialmente responsable, solidario e incluyente",social,2.29
102,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",innovador,30.1
103,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",soporte,23.1
104,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",económico,9.39
105,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",estado,8.1
106,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",competitivo,1.79
107,EME2,1,"pilar económico: estado de méxico competitivo, productivo e innovador",productor,1.7
108,EME3,1,"pilar territorial: estado de méxico ordenado, sustentable y resiliente",estado,31.79
109,EME3,1,"pilar territorial: estado de méxico ordenado, sustentable y resiliente",hito,28.1
110,EME3,1,"pilar territorial: estado de méxico ordenado, sustentable y resiliente",sustentable,2.59
111,EME3,1,"pilar territorial: estado de méxico ordenado, sustentable y resiliente",ordenado,1.79
112,EME3,1,"pilar territorial: estado de méxico ordenado, sustentable y resiliente",territorial,1.39
113,EME4,1,pilar seguridad: estado de méxico con seguridad y justicia,seguridad,25.89
114,EME4,1,pilar seguridad: estado de méxico con seguridad y justicia,certeza,23.6
115,EME4,1,pilar seguridad: estado de méxico con seguridad y justicia,estado,19.79
116,EME4,1,pilar seguridad: estado de méxico con seguridad y justicia,justicia,7.9
117,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",tecnología,28.1
118,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",buen gobierno,22.39
119,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",equidad de género,21.89
120,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",conectividad,15.3
121,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",eje,9.89
122,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",secundario,0.8
123,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",culpable,0.8
124,EME5,1,"ejes transversales: igualdad de género, gobierno capaz y responsable y conectividad y tecnología para el buen gobierno",capaz,0.4
125,GT1,1,seguridad y paz social,seguridad,61.4
126,GT1,1,seguridad y paz social,paz,35.59
127,GT1,1,seguridad y paz social,social,2.79
128,GT2,1,desarrollo humano y social,desarrollo humano,95.59
129,GT2,1,desarrollo humano y social,social,4.3
130,GT3,1,educación de calidad,educación,55.9
131,GT3,1,educación de calidad,calidad,44.0
132,GT4,1,economía para todos,economía,100.0
133,GT5,1,desarrollo ordenado y sostenible,desarrollo sostenible,69.9
134,GT5,1,desarrollo ordenado y sostenible,desarrollo,26.79
135,GT5,1,desarrollo ordenado y sostenible,ordenado,3.2
136,GT6,1,gobierno humano y eficaz,ministerio,85.5
137,GT6,1,gobierno humano y eficaz,eficaz,9.39
138,GT6,1,gobierno humano y eficaz,humano,5.0
139,GT7,1,agenda transversal de derechos humanos,derechos humanos,50.4
140,GT7,1,agenda transversal de derechos humanos,libro de memoria,44.29
141,GT7,1,agenda transversal de derechos humanos,transversal,5.09
142,GT8,1,agenda transversal de igualdad entre mujeres y hombres,libro de memoria,26.89
143,GT8,1,agenda transversal de igualdad entre mujeres y hombres,igualdad,24.6
144,GT8,1,agenda transversal de igualdad entre mujeres y hombres,mujer,24.2
145,GT8,1,agenda transversal de igualdad entre mujeres y hombres,varón,20.6
146,GT8,1,agenda transversal de igualdad entre mujeres y hombres,transversal,3.5
147,GT9,1,agenda transversal de mentefactura,libro de memoria,45.7
148,GT9,1,agenda transversal de mentefactura,transversal,6.3
149,GT10,1,agenda transversal de internacionalización,libro de memoria,47.4
150,GT10,1,agenda transversal de internacionalización,internacionalización,47.09
151,GT10,1,agenda transversal de internacionalización,transversal,5.3
152,HG1,1,"eje 1. gobierno honesto, cercano y moderno",ministerio,45.0
153,HG1,1,"eje 1. gobierno honesto, cercano y moderno",eje,44.09
154,HG1,1,"eje 1. gobierno honesto, cercano y moderno",pudoroso,7.0
155,HG1,1,"eje 1. gobierno honesto, cercano y moderno",cercano,1.79
156,HG1,1,"eje 1. gobierno honesto, cercano y moderno",moderno,1.79
157,HG2,1,eje 2. hidalgo próspero y dinámico,hidalgo,40.09
158,HG2,1,eje 2. hidalgo próspero y dinámico,eje,32.29
159,HG2,1,eje 2. hidalgo próspero y dinámico,dinámico,13.69
160,HG2,1,eje 2. hidalgo próspero y dinámico,próspero,13.69
161,HG3,1,eje 3. hidalgo humano e igualitario,hidalgo,49.0
162,HG3,1,eje 3. hidalgo humano e igualitario,eje,43.0
163,HG3,1,eje 3. hidalgo humano e igualitario,similar,6.0
164,HG3,1,eje 3. hidalgo humano e igualitario,humano,1.79
165,HG4,1,"eje 4. hidalgo seguro, con justicia y en paz",hidalgo,29.5
166,HG4,1,"eje 4. hidalgo seguro, con justicia y en paz",eje,25.1
167,HG4,1,"eje 4. hidalgo seguro, con justicia y en paz",paz,21.89
168,HG4,1,"eje 4. hidalgo seguro, con justicia y en paz",justicia,21.1
169,HG4,1,"eje 4. hidalgo seguro, con justicia y en paz",cierto,2.2
170,HG5,1,eje 5. hidalgo con desarrollo sostenible,desarrollo sostenible,45.09
171,HG5,1,eje 5. hidalgo con desarrollo sostenible,hidalgo,31.1
172,HG5,1,eje 5. hidalgo con desarrollo sostenible,eje,23.7
173,JC1,1,"seguridad, justicia y estado de derecho",estado de derecho,55.79
174,JC1,1,"seguridad, justicia y estado de derecho",seguridad,24.7
175,JC1,1,"seguridad, justicia y estado de derecho",justicia,19.39
176,JC2,1,desarrollo social,desarrollo,94.4
177,JC2,1,desarrollo social,social,5.5
178,JC3,1,desarrollo económico,desarrollo económico,100.0
179,JC4,1,desarrollo sostenible del territorio,desarrollo sostenible,72.5
180,JC4,1,desarrollo sostenible del territorio,región,27.39
181,JC5,1,gobierno efectivo e integridad pública,ministerio,41.29
182,JC5,1,gobierno efectivo e integridad pública,completud,32.79
183,JC5,1,gobierno efectivo e integridad pública,público,23.2
184,JC5,1,gobierno efectivo e integridad pública,fáctico,2.4
185,JC6,1,temáticas transversales,tema,92.5
186,JC6,1,temáticas transversales,secundario,7.4
187,JC7,1,temáticas especiales,tema,94.69
188,JC7,1,temáticas especiales,especial,5.19
189,MO1,1,paz y seguridad para los morelenses,seguridad,43.4
190,MO1,1,paz y seguridad para los morelenses,morelense,36.9
191,MO1,1,paz y seguridad para los morelenses,paz,19.6
192,MO2,1,unidad y armonía para los morelenses,armonía,49.7
193,MO2,1,unidad y armonía para los morelenses,morelense,41.2
194,MO2,1,unidad y armonía para los morelenses,unidad,9.0
195,MO3,1,justicia social para los morelenses,justicia social,58.2
196,MO3,1,justicia social para los morelenses,morelense,41.7
197,MO4,1,productividad y competitividad para los morelenses,competencia,35.0
198,MO4,1,productividad y competitividad para los morelenses,morelense,32.9
199,MO4,1,productividad y competitividad para los morelenses,productividad,31.89
200,MO5,1,modernidad para los morelenses,modernidad,52.4
201,MO5,1,modernidad para los morelenses,morelense,47.5
202,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",rendición de cuentas,29.79
203,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",ministerio,22.39
204,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",remedio,19.89
205,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",anticorrupción,17.89
206,NA1,1,"1. gobierno eficiente, rendición de cuentas y medidas anticorrupción",eficiente,9.69
207,NA2,1,2. seguridad ciudadana y prevención del delito,seguridad ciudadana,39.5
208,NA2,1,2. seguridad ciudadana y prevención del delito,prevención,34.5
209,NA2,1,2. seguridad ciudadana y prevención del delito,delito,25.79
210,NA3,1,"3. reactivación económica, innovación productiva y empleo",innovación,40.4
211,NA3,1,"3. reactivación económica, innovación productiva y empleo",reimplantación,30.0
212,NA3,1,"3. reactivación económica, innovación productiva y empleo",profesión,19.29
213,NA3,1,"3. reactivación económica, innovación productiva y empleo",económico,8.6
214,NA3,1,"3. reactivación económica, innovación productiva y empleo",productor,1.39
215,NA4,1,"4. promoción de la equidad, la cohesión social y cultural",incentivación,37.09
216,NA4,1,"4. promoción de la equidad, la cohesión social y cultural",cohesión social,35.7
217,NA4,1,"4. promoción de la equidad, la cohesión social y cultural",equidad,25.89
218,NA4,1,"4. promoción de la equidad, la cohesión social y cultural",cultural,1.1
219,NA5,1,5. gestión de desarrollo territorial planificado y sustentable,gestión,46.09
220,NA5,1,5. gestión de desarrollo territorial planificado y sustentable,desarrollo,22.6
221,NA5,1,5. gestión de desarrollo territorial planificado y sustentable,sustentable,17.0
222,NA5,1,5. gestión de desarrollo territorial planificado y sustentable,pautado,12.8
223,NA5,1,5. gestión de desarrollo territorial planificado y sustentable,territorial,1.29
224,NA6,1,"6. infraestructura para el desarrollo sustentable, incluyente y equitativo",desarrollo sostenible,52.09
225,NA6,1,"6. infraestructura para el desarrollo sustentable, incluyente y equitativo",infraestructura,32.29
226,NA6,1,"6. infraestructura para el desarrollo sustentable, incluyente y equitativo",comprensivo,11.39
227,NA6,1,"6. infraestructura para el desarrollo sustentable, incluyente y equitativo",justo,4.0
228,NA7,1,7. conservación y aprovechamiento equilibrado de los recursos naturales,conservación,42.9
229,NA7,1,7. conservación y aprovechamiento equilibrado de los recursos naturales,aprovechamiento,28.2
230,NA7,1,7. conservación y aprovechamiento equilibrado de los recursos naturales,recurso natural,23.79
231,NA7,1,7. conservación y aprovechamiento equilibrado de los recursos naturales,equilibrado,5.0
232,NA8,1,gobierno abierto y transparente,gobierno,86.9
233,NA8,1,gobierno abierto y transparente,transparente,9.6
234,NA8,1,gobierno abierto y transparente,extravertido,3.4
235,NA9,1,igualdad sustantiva,igualdad de facto,100.0
236,NA10,1,desarrollo sostenible,desarrollo sostenible,100.0
237,NA11,1,productividad democrática,fertilidad,70.19
238,NA11,1,productividad democrática,democrático,29.7
239,PU1,1,"eje 1. seguridad pública, justicia y estado de derecho",estado de derecho,36.09
240,PU1,1,"eje 1. seguridad pública, justicia y estado de derecho",seguridad pública,32.2
241,PU1,1,"eje 1. seguridad pública, justicia y estado de derecho",justicia,17.29
242,PU1,1,"eje 1. seguridad pública, justicia y estado de derecho",eje,14.19
243,PU2,1,eje 2. recuperación del campo poblano,recobro,41.29
244,PU2,1,eje 2. recuperación del campo poblano,eje,29.6
245,PU2,1,eje 2. recuperación del campo poblano,campo,17.0
246,PU2,1,eje 2. recuperación del campo poblano,poblano,11.89
247,PU3,1,eje 3. desarrollo económico para todas y todos,desarrollo económico,62.5
248,PU3,1,eje 3. desarrollo económico para todas y todos,eje,37.4
249,PU4,1,eje 4. disminución de las desigualdades,disminución,39.7
250,PU4,1,eje 4. disminución de las desigualdades,diversidad,30.39
251,PU4,1,eje 4. disminución de las desigualdades,eje,29.79
252,PU5,1,"eje especial. gobierno democrático, innovador y transparente",democracia,60.09
253,PU5,1,"eje especial. gobierno democrático, innovador y transparente",eje,32.7
254,PU5,1,"eje especial. gobierno democrático, innovador y transparente",innovador,2.59
255,PU5,1,"eje especial. gobierno democrático, innovador y transparente",transparente,2.5
256,PU5,1,"eje especial. gobierno democrático, innovador y transparente",especial,1.79
257,PU6,1,enfoque transversal,enfoque,91.8
258,PU6,1,enfoque transversal,transversal,8.1
259,AG1.1,2,gran acuerdo social por la educación,acuerdo social,58.59
260,AG1.1,2,gran acuerdo social por la educación,educación,39.79
261,AG1.1,2,gran acuerdo social por la educación,gordo,1.5
262,AG1.2,2,promoción y prevención para la salud,prevención,41.5
263,AG1.2,2,promoción y prevención para la salud,incentivación,30.29
264,AG1.2,2,promoción y prevención para la salud,salud,28.1
265,AG1.3,2,fortalecimiento a la atención médica,fortalecimiento,51.9
266,AG1.3,2,fortalecimiento a la atención médica,cura,48.0
267,AG1.4,2,atención a la salud,asistencia médica,100.0
268,AG1.5,2,fortalecimiento del tejido social (centros crecer),fortalecimiento,52.2
269,AG1.5,2,fortalecimiento del tejido social (centros crecer),textura,46.2
270,AG1.5,2,fortalecimiento del tejido social (centros crecer),social,1.5
271,AG1.6,2,identidad con educación y valores,apostura,41.79
272,AG1.6,2,identidad con educación y valores,identidad,31.0
273,AG1.6,2,identidad con educación y valores,valor,27.1
274,AG1.8,2,apoyo a la población vulnerable,pueblo,56.2
275,AG1.8,2,apoyo a la población vulnerable,apoyo,40.5
276,AG1.8,2,apoyo a la población vulnerable,vulnerable,3.2
277,AG1.9,2,crecer con valores,valor,100.0
278,AG1.10,2,desarrollo familiar,desarrollo,95.0
279,AG1.10,2,desarrollo familiar,doméstico,4.9
280,AG1.11,2,formación en las artes,formación,71.4
281,AG1.11,2,formación en las artes,arte,28.5
282,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",contratista,23.7
283,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",artesano,21.6
284,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",autor,15.0
285,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",impulso,12.69
286,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",trabajo,12.5
287,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",emprendedor,8.39
288,AG1.12,2,"impulso al trabajo de artesanos, creadores, emprendedores y empresarios artísticos",artístico,5.8
289,AG1.13,2,deporte social,deporte,95.19
290,AG1.13,2,deporte social,social,4.69
291,AG1.14,2,deporte selectivo,deporte,90.69
292,AG1.14,2,deporte selectivo,selectivo,9.19
293,AG1.15,2,aguascalientes joven vive más,chico,94.09
294,AG1.16,2,tu señal con valor,señal,56.59
295,AG1.16,2,tu señal con valor,valor,43.29
296,AG2.1,2,marco normativo,contexto,68.8
297,AG2.1,2,marco normativo,normativo,31.1
298,AG2.2,2,gobernanza y estado de derecho,estado de derecho,64.4
299,AG2.2,2,gobernanza y estado de derecho,gobernanza,35.5
300,AG2.3,2,estrategia integral de seguridad pública,seguridad pública,54.9
301,AG2.3,2,estrategia integral de seguridad pública,estrategia,40.09
302,AG2.3,2,estrategia integral de seguridad pública,global,4.8
303,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,internacional,27.1
304,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,estrategia,27.0
305,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,organización,24.29
306,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,individuo,19.1
307,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,nacional,1.2
308,AG2.4,2,reinsertar al individuo a la sociedad con estrategias humanas nacionales e internacionales,humano,1.0
309,AG3.1,2,financiamiento sano del desarrollo,financiamiento,53.4
310,AG3.1,2,financiamiento sano del desarrollo,desarrollo,46.5
311,AG3.2,2,fortalecimiento de la coordinación hacendaria,fortalecimiento,47.2
312,AG3.2,2,fortalecimiento de la coordinación hacendaria,coordinación,41.09
313,AG3.2,2,fortalecimiento de la coordinación hacendaria,social,11.6
314,AG3.3,2,gobierno cercano y moderno,ministerio,88.59
315,AG3.3,2,gobierno cercano y moderno,cercano,5.59
316,AG3.3,2,gobierno cercano y moderno,moderno,5.59
317,AG3.4,2,"gestión pública integral, eficiente y de calidad",gestión pública,40.7
318,AG3.4,2,"gestión pública integral, eficiente y de calidad",calidad,36.79
319,AG3.4,2,"gestión pública integral, eficiente y de calidad",eficiente,20.29
320,AG3.4,2,"gestión pública integral, eficiente y de calidad",global,2.0
321,AG3.5,2,implementación del modelo estatal del control interno,control interno,49.59
322,AG3.5,2,implementación del modelo estatal del control interno,implementación,45.7
323,AG3.5,2,implementación del modelo estatal del control interno,modelo,2.4
324,AG3.5,2,implementación del modelo estatal del control interno,estatal,2.09
325,AG4.1,2,"economía global, competitiva y diversificada",economía,56.09
326,AG4.1,2,"economía global, competitiva y diversificada",diversificado,37.9
327,AG4.1,2,"economía global, competitiva y diversificada",global,3.2
328,AG4.1,2,"economía global, competitiva y diversificada",competitivo,2.59
329,AG4.2,2,"fomento a la micro, pequeña y mediana empresa",pequeña y mediana empresa,44.7
330,AG4.2,2,"fomento a la micro, pequeña y mediana empresa",aumento,27.79
331,AG4.2,2,"fomento a la micro, pequeña y mediana empresa",minibús,27.39
332,AG4.3,2,"fomento al desarrollo tecnológico, innovacióny mejora regulatoria",aumento,64.4
333,AG4.3,2,"fomento al desarrollo tecnológico, innovacióny mejora regulatoria",tecnológico,19.7
334,AG4.3,2,"fomento al desarrollo tecnológico, innovacióny mejora regulatoria",desarrollo,12.0
335,AG4.4,2,fomento al sector agroalimentario,agroalimentación,58.09
336,AG4.4,2,fomento al sector agroalimentario,ayuda,41.79
337,AG4.5,2,promoción y difusión turística,circulación,45.5
338,AG4.5,2,promoción y difusión turística,incentivación,40.9
339,AG4.5,2,promoción y difusión turística,turístico,13.5
340,AG4.6,2,desarrollo de productos turísticos,producto,52.4
341,AG4.6,2,desarrollo de productos turísticos,desarrollo,27.7
342,AG4.6,2,desarrollo de productos turísticos,turístico,19.79
343,AG5.1,2,sistema estatal de movilidad integral y sustentable,movilidad,47.9
344,AG5.1,2,sistema estatal de movilidad integral y sustentable,sistema,36.0
345,AG5.1,2,sistema estatal de movilidad integral y sustentable,sustentable,6.8
346,AG5.1,2,sistema estatal de movilidad integral y sustentable,estatal,4.9
347,AG5.1,2,sistema estatal de movilidad integral y sustentable,global,4.0
348,AG5.2,2,plan hídrico estatal,programa,46.09
349,AG5.2,2,plan hídrico estatal,hídrico,45.59
350,AG5.2,2,plan hídrico estatal,estatal,8.1
351,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",río,20.29
352,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",valle,18.7
353,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",afluente,16.1
354,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",regeneración,15.1
355,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",calidad,13.0
356,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",mejora,10.6
357,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",estético,3.29
358,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",ambiental,0.6
359,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",verde,0.6
360,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",sanitario,0.5
361,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",santo,0.3
362,AG5.3,2,"regeneración de la cuenca del río san pedro y su afluente al río verde a través del mejoramiento de sus características ambientales, sanitarias y estéticas",pedro,0.2
363,AG5.4,2,cambio climático y energías sustentables,cambio climático,60.4
364,AG5.4,2,cambio climático y energías sustentables,energía,36.0
365,AG5.4,2,cambio climático y energías sustentables,sustentable,3.5
366,AG5.5,2,gestión de residuos e impacto ambiental,gestión de residuos,63.7
367,AG5.5,2,gestión de residuos e impacto ambiental,impacto ambiental,36.2
368,AG5.6,2,programa de ordenamiento ecológico regional,reglamento,55.4
369,AG5.6,2,programa de ordenamiento ecológico regional,ecológico,21.2
370,AG5.6,2,programa de ordenamiento ecológico regional,programa,20.39
371,AG5.6,2,programa de ordenamiento ecológico regional,regional,2.7
372,AG5.7,2,educación ambiental para la sustentabilidad,educación ambiental,100.0
373,AG5.8,2,calidad del aire,calidad del aire,100.0
374,AG5.9,2,gestión sustentable del agua subterránea,agua subterránea,53.5
375,AG5.9,2,gestión sustentable del agua subterránea,gestión,40.79
